Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[GENV]	DS_Pr[GWEA]	DS_Pr[GDIS]	MV_Pr[GENV]	MV_Pr[GWEA]	MV_Pr[GDIS]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
2207	GENV	GDIS	GDIS	GDIS	GDIS	0.0767	0.0078	0.9155	0.3333	0.0000	0.6667	0.1560	0.4444	0.0845	0.3333	0.0845	0.3333	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9233	0.6667	83.27%	34.02%	69.13%	12.03%	83.27%	34.02%	-97.93%	-97.93%	-97.93%	-97.93%	-82.75%	-31.95%
2208	GWEA	GWEA	GWEA	GWEA	GWEA	0.0379	0.8333	0.1288	0.0000	1.0000	0.0000	0.2876	0.0000	0.1667	0.0000	0.1667	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1667	0.0000	67.01%	100.00%	43.08%	100.00%	67.01%	100.00%	100.00%	100.00%	100.00%	100.00%	67.01%	100.00%
2209	GDIS	GWEA	GDIS	GWEA	GWEA	0.0027	0.7216	0.2758	0.0000	0.5000	0.5000	0.4033	0.5000	0.2785	0.5000	0.2785	0.5000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.7243	0.5000	44.89%	1.04%	20.17%	1.04%	44.89%	1.04%	-97.93%	100.00%	-97.93%	-97.93%	-43.35%	1.04%
221	GDIS	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.93%	-97.93%
2210	GWEA	GWEA	GWEA	GWEA	GWEA	0.0379	0.8333	0.1288	0.0000	1.0000	0.0000	0.2876	0.0000	0.1667	0.0000	0.1667	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1667	0.0000	67.01%	100.00%	43.08%	100.00%	67.01%	100.00%	100.00%	100.00%	100.00%	100.00%	67.01%	100.00%
2211	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
2212	GENV	GENV	GENV	GENV	GENV	0.9507	0.0479	0.0014	0.6000	0.4000	0.0000	0.0938	0.4800	0.0493	0.4000	0.0493	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0493	0.4000	90.25%	20.83%	81.43%	4.99%	90.25%	20.83%	100.00%	100.00%	100.00%	100.00%	90.25%	20.83%
2213	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
2214	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
2215	GWEA	GWEA	GWEA	GWEA	GWEA	0.0056	0.6911	0.3033	0.0000	0.5000	0.5000	0.4304	0.5000	0.3089	0.5000	0.3089	0.5000	0.6240	0.5052	0.0000	1.0000	0.0000	0.0000	0.3089	0.5000	38.86%	1.04%	14.81%	1.04%	38.86%	1.04%	100.00%	100.00%	100.00%	100.00%	38.86%	1.04%
2216	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
2217	GWEA	GWEA	GWEA	GWEA	GWEA	0.0003	0.9983	0.0014	0.0000	1.0000	0.0000	0.0034	0.0000	0.0017	0.0000	0.0017	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	99.66%	100.00%	99.32%	100.00%	99.66%	100.00%	100.00%	100.00%	100.00%	100.00%	99.66%	100.00%
2218	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
2219	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
222	GDIS	GDIS	GDIS	GDIS	GDIS	0.0004	0.0046	0.9950	0.0000	0.2000	0.8000	0.0100	0.3200	0.0050	0.2000	0.0050	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0050	0.2000	99.00%	60.41%	98.02%	36.66%	99.00%	60.41%	100.00%	100.00%	100.00%	100.00%	99.00%	60.41%
2220	GDIS	GDIS	GDIS	GDIS	GDIS	0.0767	0.0078	0.9155	0.3333	0.0000	0.6667	0.1560	0.4444	0.0845	0.3333	0.0845	0.3333	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0845	0.3333	83.27%	34.02%	69.13%	12.03%	83.27%	34.02%	100.00%	100.00%	100.00%	100.00%	83.27%	34.02%
2221	GENV	GENV	GENV	GENV	GENV	0.5901	0.0024	0.4075	0.5000	0.0000	0.5000	0.4857	0.5000	0.4099	0.5000	0.4099	0.5000	0.6240	0.5052	0.0000	1.0000	0.0000	0.0000	0.4099	0.5000	18.87%	1.04%	3.87%	1.04%	18.87%	1.04%	100.00%	-97.93%	100.00%	100.00%	18.87%	1.04%
2222	GDIS	GDIS	GDIS	GDIS	GDIS	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
2223	GDIS	GENV	GENV	GENV	GENV	0.7761	0.0108	0.2131	0.6667	0.0000	0.3333	0.3522	0.4444	0.2239	0.3333	0.2239	0.3333	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.7869	0.6667	55.68%	34.02%	30.29%	12.03%	55.68%	34.02%	-97.93%	-97.93%	-97.93%	-97.93%	-55.75%	-31.95%
2224	GENV	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
2225	GDIS	GDIS	GDIS	GDIS	GDIS	0.1190	0.0008	0.8802	0.4000	0.0000	0.6000	0.2112	0.4800	0.1198	0.4000	0.1198	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1198	0.4000	76.28%	20.83%	58.21%	4.99%	76.28%	20.83%	100.00%	100.00%	100.00%	100.00%	76.28%	20.83%
2226	GWEA	GWEA	GWEA	GWEA	GWEA	0.0003	0.9983	0.0014	0.0000	1.0000	0.0000	0.0034	0.0000	0.0017	0.0000	0.0017	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	99.66%	100.00%	99.32%	100.00%	99.66%	100.00%	100.00%	100.00%	100.00%	100.00%	99.66%	100.00%
2227	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
2228	GDIS	GENV	GENV	GENV	GENV	0.9995	0.0001	0.0005	1.0000	0.0000	0.0000	0.0010	0.0000	0.0005	0.0000	0.0005	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9995	1.0000	99.90%	100.00%	99.79%	100.00%	99.90%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.84%	-97.93%
2229	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
223	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	0.9999	0.0001	0.0000	1.0000	0.0000	0.0002	0.0000	0.0001	0.0000	0.0001	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	99.98%	100.00%	99.96%	100.00%	99.98%	100.00%	100.00%	100.00%	100.00%	100.00%	99.98%	100.00%
2230	GDIS	GDIS	GDIS	GDIS	GDIS	0.1190	0.0008	0.8802	0.4000	0.0000	0.6000	0.2112	0.4800	0.1198	0.4000	0.1198	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1198	0.4000	76.28%	20.83%	58.21%	4.99%	76.28%	20.83%	100.00%	100.00%	100.00%	100.00%	76.28%	20.83%
2231	GDIS	GWEA	GDIS	GWEA	GWEA	0.0027	0.7216	0.2758	0.0000	0.5000	0.5000	0.4033	0.5000	0.2785	0.5000	0.2785	0.5000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.7243	0.5000	44.89%	1.04%	20.17%	1.04%	44.89%	1.04%	-97.93%	100.00%	-97.93%	-97.93%	-43.35%	1.04%
2232	GDIS	GDIS	GDIS	GDIS	GENV	0.4397	0.0032	0.5571	0.5000	0.0000	0.5000	0.4963	0.5000	0.4429	0.5000	0.4429	0.5000	0.6240	0.5052	0.0000	1.0000	0.0000	1.0000	0.4429	0.5000	12.34%	1.04%	1.77%	1.04%	12.34%	1.04%	100.00%	-97.93%	100.00%	-97.93%	12.34%	1.04%
2233	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	0.9999	0.0000	0.2000	0.8000	0.0000	0.0001	0.3200	0.0001	0.2000	0.0001	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0001	0.2000	99.99%	60.41%	99.97%	36.66%	99.99%	60.41%	100.00%	100.00%	100.00%	100.00%	99.99%	60.41%
2234	GWEA	GWEA	GWEA	GWEA	GWEA	0.0379	0.8333	0.1288	0.0000	1.0000	0.0000	0.2876	0.0000	0.1667	0.0000	0.1667	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1667	0.0000	67.01%	100.00%	43.08%	100.00%	67.01%	100.00%	100.00%	100.00%	100.00%	100.00%	67.01%	100.00%
2235	GWEA	GWEA	GWEA	GWEA	GWEA	0.0001	0.9999	0.0001	0.2000	0.8000	0.0000	0.0002	0.3200	0.0001	0.2000	0.0001	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0001	0.2000	99.98%	60.41%	99.95%	36.66%	99.98%	60.41%	100.00%	100.00%	100.00%	100.00%	99.98%	60.41%
2236	GWEA	GWEA	GWEA	GWEA	GWEA	0.0379	0.8333	0.1288	0.0000	1.0000	0.0000	0.2876	0.0000	0.1667	0.0000	0.1667	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1667	0.0000	67.01%	100.00%	43.08%	100.00%	67.01%	100.00%	100.00%	100.00%	100.00%	100.00%	67.01%	100.00%
2237	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
2238	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
2239	GDIS	GDIS	GDIS	GDIS	GDIS	0.0767	0.0078	0.9155	0.3333	0.0000	0.6667	0.1560	0.4444	0.0845	0.3333	0.0845	0.3333	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0845	0.3333	83.27%	34.02%	69.13%	12.03%	83.27%	34.02%	100.00%	100.00%	100.00%	100.00%	83.27%	34.02%
224	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
2240	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
2241	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
2242	GDIS	GENV	GENV	GENV	GENV	0.9949	0.0008	0.0043	1.0000	0.0000	0.0000	0.0103	0.0000	0.0052	0.0000	0.0052	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9957	1.0000	98.98%	100.00%	97.97%	100.00%	98.98%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.07%	-97.93%
2243	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
2244	GENV	GENV	GENV	GENV	GENV	0.9839	0.0150	0.0010	0.6000	0.4000	0.0000	0.0317	0.4800	0.0161	0.4000	0.0161	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0161	0.4000	96.82%	20.83%	93.73%	4.99%	96.82%	20.83%	100.00%	100.00%	100.00%	100.00%	96.82%	20.83%
2245	GENV	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9956	1.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.07%	-97.93%
2246	GWEA	GWEA	GWEA	GWEA	GWEA	0.0328	0.5012	0.4660	0.0000	0.5000	0.5000	0.5305	0.5000	0.4988	0.5000	0.4988	0.5000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.4988	0.5000	1.28%	1.04%	-5.01%	1.04%	1.28%	1.04%	100.00%	-97.93%	100.00%	100.00%	1.28%	1.04%
2247	GDIS	GDIS	GDIS	GDIS	GDIS	0.0167	0.1477	0.8355	0.0000	0.3333	0.6667	0.2798	0.4444	0.1645	0.3333	0.1645	0.3333	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1645	0.3333	67.45%	34.02%	44.63%	12.03%	67.45%	34.02%	100.00%	100.00%	100.00%	100.00%	67.45%	34.02%
2248	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
2249	GDIS	GDIS	GDIS	GDIS	GDIS	0.0053	0.0312	0.9635	0.0000	0.2500	0.7500	0.0707	0.3750	0.0365	0.2500	0.0365	0.2500	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0365	0.2500	92.77%	50.52%	86.00%	25.78%	92.77%	50.52%	100.00%	100.00%	100.00%	100.00%	92.77%	50.52%
225	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
2250	GDIS	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.92%	-97.93%
2251	GDIS	GENV	GENV	GENV	GENV	0.9928	0.0012	0.0060	0.6000	0.2000	0.2000	0.0142	0.5600	0.0072	0.4000	0.0072	0.4000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9940	0.8000	98.58%	20.83%	97.19%	-10.84%	98.58%	20.83%	-97.93%	-97.93%	-97.93%	-97.93%	-96.74%	-58.34%
2252	GENV	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
2253	GDIS	GDIS	GDIS	GDIS	GDIS	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
2254	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
2255	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
2256	GENV	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
2257	GENV	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
2258	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
2259	GDIS	GENV	GENV	GENV	GENV	0.8675	0.1285	0.0041	0.6000	0.4000	0.0000	0.2309	0.4800	0.1325	0.4000	0.1325	0.4000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9960	1.0000	73.77%	20.83%	54.29%	4.99%	73.77%	20.83%	-97.93%	-97.93%	-97.93%	-97.93%	-97.13%	-97.93%
226	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
2260	GDIS	GDIS	GDIS	GDIS	GDIS	0.0225	0.0015	0.9760	0.2500	0.0000	0.7500	0.0469	0.3750	0.0240	0.2500	0.0240	0.2500	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0240	0.2500	95.25%	50.52%	90.72%	25.78%	95.25%	50.52%	100.00%	100.00%	100.00%	100.00%	95.25%	50.52%
2261	GDIS	GDIS	GDIS	GDIS	GDIS	0.0767	0.0078	0.9155	0.3333	0.0000	0.6667	0.1560	0.4444	0.0845	0.3333	0.0845	0.3333	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0845	0.3333	83.27%	34.02%	69.13%	12.03%	83.27%	34.02%	100.00%	100.00%	100.00%	100.00%	83.27%	34.02%
2262	GDIS	GENV	GENV	GENV	GENV	0.9995	0.0001	0.0005	1.0000	0.0000	0.0000	0.0010	0.0000	0.0005	0.0000	0.0005	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9995	1.0000	99.90%	100.00%	99.79%	100.00%	99.90%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.84%	-97.93%
2263	GDIS	GDIS	GDIS	GDIS	GDIS	0.0167	0.1477	0.8355	0.0000	0.3333	0.6667	0.2798	0.4444	0.1645	0.3333	0.1645	0.3333	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1645	0.3333	67.45%	34.02%	44.63%	12.03%	67.45%	34.02%	100.00%	100.00%	100.00%	100.00%	67.45%	34.02%
2264	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
2265	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
2266	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
2267	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
2268	GWEA	GWEA	GWEA	GWEA	GWEA	0.0003	0.9983	0.0014	0.0000	1.0000	0.0000	0.0034	0.0000	0.0017	0.0000	0.0017	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	99.66%	100.00%	99.32%	100.00%	99.66%	100.00%	100.00%	100.00%	100.00%	100.00%	99.66%	100.00%
2269	GWEA	GWEA	GWEA	GWEA	GWEA	0.0003	0.9855	0.0142	0.0000	0.6000	0.4000	0.0285	0.4800	0.0145	0.4000	0.0145	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0145	0.4000	97.13%	20.83%	94.35%	4.99%	97.13%	20.83%	100.00%	100.00%	100.00%	100.00%	97.13%	20.83%
227	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	0.9998	0.0002	0.0000	0.8000	0.2000	0.0004	0.3200	0.0002	0.2000	0.0002	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.2000	99.96%	60.41%	99.92%	36.66%	99.96%	60.41%	100.00%	100.00%	100.00%	100.00%	99.96%	60.41%
2270	GENV	GDIS	GDIS	GDIS	GDIS	0.0225	0.0015	0.9760	0.2500	0.0000	0.7500	0.0469	0.3750	0.0240	0.2500	0.0240	0.2500	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9775	0.7500	95.25%	50.52%	90.72%	25.78%	95.25%	50.52%	-97.93%	-97.93%	-97.93%	-97.93%	-93.48%	-48.45%
